Point ID,_0,_1,_2,_Magnitude,f_26
0,0,0.41,0,0.41,-0.0008100615052545142
1,0,0,0,0,-0.00016408018347896156
2,2.2,0,0,2.2,0.0
3,2.2,0.41,0,2.23788,0.0
4,0.240451,0.229389,0,0.332319,-0.002773195041709037
5,0.25,0.2,0,0.320156,0.0022653024060239743
6,0.240451,0.170611,0,0.29483,-0.0002404202638330673
7,0.215451,0.152447,0,0.26393,0.0002135069301970248
8,0.184549,0.152447,0,0.239371,0.0020645248364361936
9,0.159549,0.170611,0,0.233589,0.002784427431425176
10,0.15,0.2,0,0.25,-0.007932167288263854
11,0.159549,0.229389,0,0.27942,0.003201238553525268
12,0.184549,0.247553,0,0.308773,0.005581199477449955
13,0.215451,0.247553,0,0.328179,-0.001908474718366311
14,1.1,0,0,1.1,-0.0012388998786880333
15,1.1,0.41,0,1.17393,-0.0012742776142642077
16,0,0.205,0,0.205,0.01207932576703153
17,0.55,0,0,0.55,0.005352790279227578
18,0.55,0.41,0,0.686003,0.0002711248577683739
19,0.275,0,0,0.275,-0.000693180958422511
20,0.275,0.41,0,0.493685,-0.0014812055757064111
21,1.65,0.41,0,1.70018,-1.0241490227360685e-06
22,1.65,0,0,1.65,-0.0009692058057643896
23,0.825,0.41,0,0.921263,-0.0018974691158127486
24,0.825,0,0,0.825,0.001701726125819721
25,1.375,0,0,1.375,-0.0014718869739100725
26,1.375,0.41,0,1.43483,-0.0006619562461501865
27,1.925,0,0,1.925,0.0004518250590159051
28,1.925,0.41,0,1.96818,-0.00039778971982055116
29,1.5125,0.205,0,1.52633,0.0008817169832460033
30,1.7875,0.205,0,1.79922,0.0001344990525641895
31,0.6875,0.205,0,0.717413,-0.00024287922945211225
32,0.9625,0.205,0,0.984089,-0.0009364916457104524
33,1.2375,0.205,0,1.25436,0.0015711418546720244
34,2.2,0.205,0,2.20953,0.0
35,0.4687,0.206857,0,0.512318,0.0003652358676983602
36,1.99375,0.215274,0,2.00534,0.00024751495140876856
37,2.0625,0,0,2.0625,-0.0004244034436038587
38,2.0625,0.41,0,2.10286,-0.0001301180439989519
39,2.2,0.3075,0,2.22139,0.0
40,0.4125,0,0,0.4125,0.0027923217267380096
41,0.4125,0.41,0,0.581598,-0.005737692025595695
42,1.7875,0.41,0,1.83392,-0.0007330709348877926
43,1.375,0.148613,0,1.38301,-3.0889904972357884e-05
44,1.5125,0,0,1.5125,0.0018658956231386605
45,1.7875,0,0,1.7875,0.0007288872163984279
46,1.5125,0.41,0,1.56709,0.0006242042604763636
47,0.825,0.261387,0,0.865418,2.0214312110536153e-05
48,0.9625,0.41,0,1.04619,-0.0005010087598556398
49,0.9625,0,0,0.9625,-0.002091200703794346
50,0.6875,0.41,0,0.800472,3.398350440844233e-05
51,0.6875,0,0,0.6875,0.004357656114653508
52,0.1375,0,0,0.1375,0.001178256860123771
53,0.1375,0.41,0,0.432442,-0.003501721061197886
54,1.2375,0,0,1.2375,-0.0006996893556088762
55,1.1,0.148613,0,1.10999,0.0014962924218066592
56,1.2375,0.41,0,1.30365,0.003153088619437268
57,1.65,0.148613,0,1.65668,0.00018766568084022654
58,1.12672,0.279306,0,1.16082,-0.003893932573595457
59,1.67672,0.279306,0,1.69982,0.0008623421747641431
60,0.851716,0.130694,0,0.861685,-0.005408897472559106
61,1.34828,0.279306,0,1.37691,-0.003560180307417709
62,0.34375,0.303239,0,0.458386,-0.0007202780065712745
63,1.8947,0.128291,0,1.89904,0.0008175113898729167
64,2.0928,0.128291,0,2.09673,-0.0005616034931940888
65,1.85625,0.3075,0,1.88155,-2.2973423981689897e-06
66,0.61875,0.3075,0,0.690947,-0.0011922269860753433
67,0.61875,0.1025,0,0.627182,0.002347990220695378
68,0.364854,0.124008,0,0.385352,-0.008252164921366437
69,0,0.3075,0,0.3075,-0.0030977497181968253
70,0,0.1025,0,0.1025,0.0028374828235873746
71,2.09917,0.25625,0,2.11475,5.246816159048944e-05
72,0.48125,0.0923844,0,0.490037,0.0053912018887036705
73,0.5781,0.205928,0,0.613683,0.002899302059404844
74,0.48125,0.319674,0,0.577748,0.004443802676044137
75,0.726588,0.305524,0,0.78821,-0.005410197166179362
76,1.99375,0.0839595,0,1.99552,-0.0011798549023348973
77,1.45996,0.3075,0,1.49199,1.3764776764323854e-05
78,1.56903,0.298689,0,1.5972,0.0017559638607512423
79,0.75625,0.082131,0,0.760697,6.934429478902923e-05
80,1.03125,0.327869,0,1.08212,0.00418092935965357
81,0.923871,0.307825,0,0.973804,0.0028738406931866707
82,1.95938,0.312637,0,1.98416,0.0001425342750732309
83,1.74922,0.1025,0,1.75222,0.00023851639714909877
84,1.27578,0.1025,0,1.27989,-0.001025336503939838
85,2.2,0.1025,0,2.20239,0.0
86,1.22594,0.3075,0,1.26391,-0.0004035736651807459
87,1.55078,0.1025,0,1.55416,0.001762692678750782
88,1.00078,0.1025,0,1.00601,-0.001912916776805796
89,1.44375,0.0743064,0,1.44566,0.0014579519345634911
90,1.16875,0.0743064,0,1.17111,-0.0013806012587988955
91,1.89925,0.222997,0,1.9123,0.0002916722218258653
92,0.10209,0.314026,0,0.330204,0.0017425030963876533
93,1.76648,0.293403,0,1.79068,0.0006464653261362453
94,0.340506,0.211999,0,0.401108,-0.004646277117507896
95,0.771079,0.171097,0,0.789833,0.006471850377729223
96,1.04608,0.238903,0,1.07301,-0.0013607413258937722
